---Reading xml dump file---
Page 15794. 4019 revisions: 4021 text, 2 None
Page 15795. 2934 revisions: 2934 text, 2 None
Page 15796. 3194 revisions: 3194 text, 2 None
Page 15797. 3181 revisions: 3180 text, 1 None
Page 15798. 3021 revisions: 3018 text, 4 None
Page 15799. 3424 revisions: 3421 text, 4 None
Page 15800. 3343 revisions: 3342 text, 1 None
Page 15801. 3269 revisions: 3269 text, 0 None
Page 15802. 3644 revisions: 3646 text, 2 None
Page 15803. 3625 revisions: 3627 text, 2 None
Page 15804. 2946 revisions: 2945 text, 3 None
Page 15805. 3294 revisions: 3294 text, 2 None
Page 15806. 3200 revisions: 3196 text, 5 None
Page 15807. 1059 revisions: 1056 text, 3 None
Page 15809. 3217 revisions: 3219 text, 2 None
Page 15812. 3464 revisions: 3466 text, 0 None
Page 15813. 3099 revisions: 3101 text, 0 None
Page 15814. 3001 revisions: 2998 text, 3 None
Page 15815. 3175 revisions: 3180 text, 0 None
Page 15816. 3203 revisions: 3200 text, 3 None
Page 15817. 3009 revisions: 3008 text, 2 None
Page 15818. 3106 revisions: 3110 text, 0 None
Page 15819. 3871 revisions: 3873 text, 0 None
Page 15820. 3179 revisions: 3180 text, 2 None
Page 15821. 1659 revisions: 1657 text, 2 None
Page 15823. 3929 revisions: 3931 text, 2 None
Page 15824. 2434 revisions: 2433 text, 4 None
Page 15825. 8167 revisions: 8131 text, 39 None
Page 15826. 788 revisions: 786 text, 2 None
Page 15827. 1148 revisions: 1149 text, 0 None
Page 15829. 396 revisions: 395 text, 1 None
Page 15830. 1969 revisions: 1970 text, 0 None
Page 15831. 3245 revisions: 3245 text, 2 None
Page 15832. 194 revisions: 194 text, 0 None
Page 15834. 337 revisions: 337 text, 0 None
Page 15835. 6 revisions: 6 text, 0 None
Page 15836. 1125 revisions: 1121 text, 4 None
Page 15837. 1083 revisions: 1080 text, 3 None
Page 15838. 2607 revisions: 2602 text, 6 None
Page 15839. 1343 revisions: 1342 text, 1 None
Page 15840. 7 revisions: 7 text, 0 None
Page 15841. 4 revisions: 4 text, 0 None
Page 15842. 3046 revisions: 3047 text, 2 None
Page 15843. 2997 revisions: 2997 text, 2 None
Page 15844. 3602 revisions: 3601 text, 1 None
Page 15845. 2930 revisions: 2930 text, 1 None
Page 15846. 3486 revisions: 3484 text, 2 None
Page 15847. 3165 revisions: 3166 text, 2 None
Page 15848. 3023 revisions: 3026 text, 0 None
Page 15849. 4124 revisions: 4119 text, 7 None
Page 15850. 14 revisions: 14 text, 0 None
Traceback (most recent call last):
  File "parser.py", line 66, in <module>
    parse(pathDump)
  File "parser.py", line 46, in parse
    file.write(elem.text)
OSError: [Errno 28] No space left on device
